"id","code","name"
Cat_019_16299,16299,"Fabricación de productos de madera, corcho, paja y materiales trenzables ncp"
Cat_019_17010,17010,"Fabricación de pasta de madera, papel y cartón"
Cat_019_17020,17020,"Fabricación de papel y cartón ondulado y envases de papel y cartón"
Cat_019_17091,17091,"Fabricación de artículos de papel y cartón de uso personal y doméstico"
Cat_019_17092,17092,"Fabricación de productos de papel ncp"
Cat_019_18110,18110,"Impresión"
Cat_019_18120,18120,"Servicios relacionados con la impresión"
Cat_019_18200,18200,"Reproducción de grabaciones"
Cat_019_19100,19100,"Fabricación de productos de hornos de coque"
Cat_019_19201,19201,"Fabricación de combustible"
Cat_019_19202,19202,"Fabricación de aceites y lubricantes"
Cat_019_20111,20111,"Fabricación de materias primas para la fabricación de colorantes"
Cat_019_20112,20112,"Fabricación de materiales curtientes"
Cat_019_20113,20113,"Fabricación de gases industriales"
Cat_019_20114,20114,"Fabricación de alcohol etílico"
Cat_019_20119,20119,"Fabricación de sustancias químicas básicas"
Cat_019_20120,20120,"Fabricación de abonos y fertilizantes"
Cat_019_20130,20130,"Fabricación de plástico y caucho en formas primarias"
Cat_019_20210,20210,"Fabricación de plaguicidas y otros productos químicos de uso agropecuario"
Cat_019_20220,20220,"Fabricación de pinturas, barnices y productos de revestimiento similares; tintas de imprenta y masillas"
Cat_019_20231,20231,"Fabricación de jabones, detergentes y similares para limpieza"
Cat_019_20232,20232,"Fabricación de perfumes, cosméticos y productos de higiene y cuidado personal, incluyendo tintes, champú, etc."
Cat_019_20291,20291,"Fabricación de tintas y colores para escribir y pintar; fabricación de cintas para impresoras"
Cat_019_20292,20292,"Fabricación de productos pirotécnicos, explosivos y municiones"
Cat_019_20299,20299,"Fabricación de productos químicos n.c.p."
Cat_019_20300,20300,"Fabricación de fibras artificiales"
Cat_019_21001,21001,"Manufactura de productos farmacéuticos, sustancias químicas y productos botánicos"
Cat_019_21008,21008,"Maquilado de medicamentos"
Cat_019_22110,22110,"Fabricación de cubiertas y cámaras; renovación y recauchutado de cubiertas"
Cat_019_22190,22190,"Fabricación de otros productos de caucho"
Cat_019_22201,22201,"Fabricación de envases plásticos"
Cat_019_22202,22202,"Fabricación de productos plásticos para uso personal o doméstico"
Cat_019_22208,22208,"Maquila de plásticos"
Cat_019_22209,22209,"Fabricación de productos plásticos n.c.p."
Cat_019_23101,23101,"Fabricación de vidrio"
Cat_019_23102,23102,"Fabricación de recipientes y envases de vidrio"
Cat_019_23108,23108,"Servicio de maquilado"
Cat_019_23109,23109,"Fabricación de productos de vidrio ncp"
Cat_019_23910,23910,"Fabricación de productos refractarios"
Cat_019_23920,23920,"Fabricación de productos de arcilla para la construcción"
Cat_019_23931,23931,"Fabricación de productos de cerámica y porcelana no refractaria"
Cat_019_23932,23932,"Fabricación de productos de cerámica y porcelana ncp"
Cat_019_23940,23940,"Fabricación de cemento, cal y yeso"
Cat_019_23950,23950,"Fabricación de artículos de hormigón, cemento y yeso"
Cat_019_23960,23960,"Corte, tallado y acabado de la piedra"
Cat_019_23990,23990,"Fabricación de productos minerales no metálicos ncp"
Cat_019_24100,24100,"Industrias básicas de hierro y acero"
Cat_019_24200,24200,"Fabricación de productos primarios de metales preciosos y metales no ferrosos"
Cat_019_24310,24310,"Fundición de hierro y acero"
Cat_019_24320,24320,"Fundición de metales no ferrosos"
Cat_019_25111,25111,"Fabricación de productos metálicos para uso estructural"
Cat_019_25118,25118,"Servicio de maquila para la fabricación de estructuras metálicas"
Cat_019_25120,25120,"Fabricación de tanques, depósitos y recipientes de metal"
Cat_019_25130,25130,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
Cat_019_25200,25200,"Fabricación de armas y municiones"
Cat_019_25910,25910,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia"
Cat_019_25920,25920,"Tratamiento y revestimiento de metales"
Cat_019_25930,25930,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
Cat_019_25991,25991,"Fabricación de envases y artículos conexos de metal"
Cat_019_25992,25992,"Fabricación de artículos metálicos de uso personal y/o doméstico"
Cat_019_25999,25999,"Fabricación de productos elaborados de metal ncp"
Cat_019_26100,26100,"Fabricación de componentes electrónicos"
Cat_019_26200,26200,"Fabricación de computadoras y equipo conexo"
Cat_019_26300,26300,"Fabricación de equipo de comunicaciones"
Cat_019_26400,26400,"Fabricación de aparatos electrónicos de consumo para audio, video radio y televisión"
Cat_019_26510,26510,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y de control de procesos industriales"
Cat_019_26520,26520,"Fabricación de relojes y piezas de relojes"
Cat_019_26600,26600,"Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico"
Cat_019_26700,26700,"Fabricación de instrumentos de óptica y equipo fotográfico"
Cat_019_26800,26800,"Fabricación de medios magnéticos y ópticos"
Cat_019_27100,27100,"Fabricación de motores, generadores, transformadores eléctricos, aparatos de distribución y control de electricidad"
Cat_019_27200,27200,"Fabricación de pilas, baterías y acumuladores"
Cat_019_27310,27310,"Fabricación de cables de fibra óptica"
Cat_019_27320,27320,"Fabricación de otros hilos y cables eléctricos"
Cat_019_27330,27330,"Fabricación de dispositivos de cableados"
